     0   0.25000000   0.25000000   0.25000000   0.25000000 
     1   0.25000001   0.28124999   0.25000000   0.21875000   0.80000000 
     2   0.25093633   0.26966292   0.26966292   0.20973783   0.83437500 
     3   0.24966563   0.26883638   0.25679893   0.22469906   0.84007491 
     4   0.25048544   0.27184466   0.26019417   0.21747573   0.82657156 
     5   0.25017471   0.27044025   0.26088982   0.21849522   0.83359223 
     6   0.25022387   0.27048354   0.25990598   0.21938661   0.83242488 
     7   0.25023723   0.27079646   0.26019718   0.21876913   0.83162637 
     8   0.25023289   0.27061015   0.26030508   0.21885188   0.83224335 
     9   0.25022564   0.27064165   0.26016078   0.21897192   0.83213205 
    10   0.25023357   0.27066667   0.26022266   0.21887710   0.83203104 
    11   0.25022958   0.27064611   0.26021871   0.21890560   0.83212058 
    12   0.25023052   0.27065135   0.26020812   0.21891000   0.83209122 
    13   0.25023066   0.27065335   0.26021410   0.21890189   0.83208821 
    14   0.25023049   0.27065100   0.26021362   0.21890489   0.83209590 
    15   0.25023049   0.27065184   0.26021234   0.21890532   0.83209275 
    16   0.25023056   0.27065192   0.26021322   0.21890430   0.83209253 
    17   0.25023051   0.27065168   0.26021301   0.21890480   0.83209345 
    18   0.25023053   0.27065179   0.26021293   0.21890475   0.83209296 
    19   0.25023053   0.27065179   0.26021302   0.21890467   0.83209303 
    20   0.25023052   0.27065177   0.26021299   0.21890472   0.83209310 
    21   0.25023052   0.27065178   0.26021298   0.21890471   0.83209305 
    22   0.25023052   0.27065178   0.26021299   0.21890470   0.83209306 
    23   0.25023052   0.27065178   0.26021299   0.21890471   0.83209307 
    24   0.25023052   0.27065178   0.26021299   0.21890471   0.83209306 
    25   0.25023052   0.27065178   0.26021299   0.21890471   0.83209306 
    26   0.25023052   0.27065178   0.26021299   0.21890471   0.83209306 
    27   0.25023052   0.27065178   0.26021299   0.21890471   0.83209306 
    28   0.25023052   0.27065178   0.26021299   0.21890471   0.83209306 
    29   0.25023052   0.27065178   0.26021299   0.21890471   0.83209306 
