# Cox Model. Baseline Rate Calculation.

# Idx SN Org Des MT Variable         Coeff  Covariate
# ---------------------------------------------------
#   1  1   0   1  A COHO2           0.3797     0.0000 
#   2  1   0   1  A COHO3           0.4585     1.0000 
#   3  1   0   1  A W               0.4078     0.0000 

# Transition: SN 1  Org 0  Des 1

# ID         Time       Events     Censored     Risk Set      Surv.F.     Cum.Rate
# --------------------------------------------------------------------------------
   0       0.0000       0.0000       0.0000     600.0000       1.0000       0.0000 
   0       2.0000       2.0000       0.0000     600.0000       0.9967       0.0033 
   0       3.0000       5.0000       1.0000     597.0000       0.9885       0.0115 
   0       4.0000       9.0000       2.0000     590.0000       0.9737       0.0266 
   0       5.0000       3.0000       0.0000     581.0000       0.9688       0.0317 
   0       6.0000      10.0000       1.0000     577.0000       0.9523       0.0488 
   0       7.0000       9.0000       0.0000     567.0000       0.9375       0.0646 
   0       8.0000       6.0000       1.0000     557.0000       0.9275       0.0752 
   0       9.0000       7.0000       3.0000     548.0000       0.9159       0.0879 
   0      10.0000       8.0000       1.0000     540.0000       0.9025       0.1026 
   0      11.0000       4.0000       4.0000     528.0000       0.8958       0.1101 
   0      12.0000      24.0000       0.0000     524.0000       0.8560       0.1555 
   0      13.0000       8.0000       1.0000     499.0000       0.8424       0.1715 
   0      14.0000      10.0000       3.0000     488.0000       0.8253       0.1920 
   0      15.0000       6.0000       1.0000     477.0000       0.8149       0.2046 
   0      16.0000       4.0000       0.0000     471.0000       0.8080       0.2132 
   0      17.0000       9.0000       0.0000     467.0000       0.7925       0.2325 
   0      18.0000       6.0000       0.0000     458.0000       0.7822       0.2456 
   0      19.0000       8.0000       0.0000     452.0000       0.7684       0.2635 
   0      20.0000       9.0000       1.0000     443.0000       0.7528       0.2840 
   0      21.0000       3.0000       0.0000     434.0000       0.7475       0.2910 
   0      22.0000       4.0000       0.0000     431.0000       0.7405       0.3004 
   0      23.0000       5.0000       1.0000     426.0000       0.7318       0.3122 
   0      24.0000      22.0000       1.0000     420.0000       0.6941       0.3652 
   0      25.0000      12.0000       0.0000     398.0000       0.6731       0.3958 
   0      26.0000       9.0000       3.0000     383.0000       0.6571       0.4199 
   0      27.0000       7.0000       0.0000     374.0000       0.6447       0.4390 
   0      28.0000      10.0000       2.0000     365.0000       0.6268       0.4672 
   0      29.0000       4.0000       1.0000     354.0000       0.6195       0.4788 
   0      30.0000       5.0000       1.0000     349.0000       0.6105       0.4935 
   0      31.0000       5.0000       2.0000     342.0000       0.6014       0.5085 
   0      32.0000       8.0000       1.0000     336.0000       0.5868       0.5331 
   0      33.0000       3.0000       0.0000     328.0000       0.5813       0.5425 
   0      34.0000       4.0000       0.0000     325.0000       0.5739       0.5552 
   0      35.0000       6.0000       2.0000     319.0000       0.5629       0.5746 
   0      36.0000      10.0000       1.0000     312.0000       0.5446       0.6077 
   0      37.0000       4.0000       1.0000     301.0000       0.5372       0.6215 
   0      38.0000       6.0000       0.0000     297.0000       0.5260       0.6425 
   0      39.0000       5.0000       2.0000     289.0000       0.5166       0.6605 
   0      40.0000       3.0000       3.0000     281.0000       0.5109       0.6716 
   0      41.0000       3.0000       1.0000     277.0000       0.5051       0.6830 
   0      42.0000       1.0000       1.0000     273.0000       0.5032       0.6868 
   0      43.0000       2.0000       0.0000     272.0000       0.4993       0.6945 
   0      44.0000       5.0000       1.0000     269.0000       0.4897       0.7140 
   0      45.0000       1.0000       1.0000     263.0000       0.4877       0.7180 
   0      46.0000       2.0000       0.0000     262.0000       0.4838       0.7261 
   0      47.0000       2.0000       0.0000     260.0000       0.4799       0.7342 
   0      48.0000       6.0000       1.0000     257.0000       0.4682       0.7589 
   0      49.0000       1.0000       1.0000     250.0000       0.4662       0.7632 
   0      50.0000       3.0000       0.0000     249.0000       0.4603       0.7760 
   0      51.0000       3.0000       1.0000     245.0000       0.4543       0.7890 
   0      53.0000       4.0000       0.0000     242.0000       0.4464       0.8066 
   0      54.0000      10.0000       0.0000     238.0000       0.4267       0.8517 
   0      55.0000       5.0000       0.0000     228.0000       0.4168       0.8753 
   0      56.0000       1.0000       0.0000     223.0000       0.4147       0.8801 
   0      57.0000       1.0000       1.0000     221.0000       0.4127       0.8850 
   0      58.0000       1.0000       0.0000     220.0000       0.4107       0.8899 
   0      59.0000       3.0000       2.0000     217.0000       0.4046       0.9049 
   0      60.0000       9.0000       1.0000     213.0000       0.3865       0.9506 
   0      61.0000       2.0000       0.0000     204.0000       0.3824       0.9613 
   0      62.0000       3.0000       0.0000     202.0000       0.3762       0.9775 
   0      63.0000       1.0000       1.0000     198.0000       0.3742       0.9830 
   0      66.0000       3.0000       1.0000     196.0000       0.3680       0.9997 
   0      67.0000       2.0000       2.0000     191.0000       0.3638       1.0111 
   0      68.0000       3.0000       1.0000     188.0000       0.3576       1.0284 
